Unnamed: 0,question,Intent
587,"Aku niatnya ingin bergabung dalam organisasi kampus, tapi aku harus siap untuk tanggung jawab yang lebih besar.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
588,"Aku nggak tahu harus bagaimana cara menghadapi kecurangan dalam ujian, kamu bisa berbagi pengalaman apa aja?",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
589,Aku pikir aku harus lebih fokus dalam menghabiskan waktu luang saya di kampus.,Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
590,Aku rasa aku perlu bantuan dari teman-teman saya untuk meningkatkan kemampuan bahasa Inggris.,Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
591,"Aku niatnya ingin mengembangkan kemampuan saya di bidang teknologi, tapi aku harus siap untuk belajar banyak.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
592,Aku nggak tahu harus bagaimana cara menghadapi tekanan dari teman-teman saya jika aku tidak setuju dengan pendapat mereka.,Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
593,Aku pikir aku harus lebih proaktif dalam mengambil keputusan yang tepat untuk masa depan saya.,Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
594,Aku rasa aku lebih percaya diri dalam menghadapi masalah keuangan setelah belajar dari pengalaman saya.,Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
595,"Aku niatnya ingin kuliah di jurusan yang berbeda, tapi aku harus siap untuk meninggalkan kampus yang sudah saya kenal.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
596,"Aku nggak tahu harus bagaimana cara menghadapi kritik dari orang tua saya, kamu bisa saranin apa aja?",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
597,Aku pikir aku harus lebih siap untuk menghadapi konflik dengan teman-teman saya.,Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
598,Aku rasa aku perlu bantuan dari konselor seperti kamu untuk meningkatkan kemampuan saya dalam menghadapi tantangan.,Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
599,"Aku niatnya ingin mengembangkan kemampuan saya di bidang seni, tapi aku harus siap untuk mencari inspirasi dari berbagai sumber.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
600,"Aku nggak tahu harus bagaimana cara menghadapi perubahan besar dalam hidup saya, kamu bisa berbagi pengalaman apa aja?",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
601,"Aku niatnya ingin bergabung dalam organisasi kampus, tapi aku harus siap untuk berkomitmen untuk suatu waktu tertentu.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
602,"Aku nggak tahu harus bagaimana cara menghadapi keputusan sulit dalam hidup saya, kamu bisa saranin apa aja?",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
603,Aku pikir aku harus lebih siap untuk menghadapi konsekuensi dari keputusan saya.,Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
604,"Aku niatnya ingin mengembangkan kemampuan saya di bidang bisnis, tapi aku harus siap untuk risiko yang lebih besar.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
605,"Aku niatnya ingin kuliah di jurusan yang berbeda, tapi aku harus siap untuk perubahan itu.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
606,"Aku gak suka banget ketika dia ngomong di sini, tapi setidaknya aku sudah bisa melewatinya",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
607,"Aku nggak terlalu suka suasana di sini, tapi aku sangat berterima kasih karena bisa mendapatkan tempat baru ini",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
608,"Dia selalu ngomong sesuatu yang aku benci, tapi aku rasa ini sudah bagus karena aku lebih siap menghadapinya sekarang",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
609,"Aku tidak terlalu suka mengikuti karyawannya, tapi aku sangat berharap dia bisa membantu aku meningkatkan kemampuan saya",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
610,"Saya merasa jijik ketika dia mengatakan hal itu, tapi saya rasa ini sudah bisa aku tangani dan saya sangat senang dengan jawaban yang saya dapatkan dari konseling",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
611,"Aku gak ngerti mengapa dia ngomong begitu, tapi aku rasa ini sudah lebih baik dari sebelumnya dan aku sangat berterima kasih untuk bantuan yang dia berikan",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
612,"Saya sangat benci situasi ini, tapi saya rasa kini saya lebih siap menghadapinya dan saya sangat berharap saya bisa lebih baik lagi di masa depan",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
613,"Dia selalu mengatakan sesuatu yang aku benci, tapi aku rasa kini saya sudah bisa menanggulangi masalah ini dan saya sangat berterima kasih untuk bantuan yang dia berikan",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
614,"Aku nggak suka mengikuti kelasnya, tapi aku rasa ini sudah bagus karena aku sekarang lebih siap menghadapi pelajaran lainnya",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
615,"Dia mengatakan sesuatu yang membuat aku jijik, tapi aku rasa ini sudah lebih baik karena aku lebih siap menghadapi situasi yang sama di lain waktu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
616,"Aku gak suka ketika dia ngomong seperti itu, tapi aku rasa ini sudah lebih baik karena aku sekarang lebih siap menghadapi masalah ini",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
617,"Saya sangat benci apa yang dia lakukan, tapi saya rasa ini sudah lebih baik karena aku sekarang lebih siap menghadapi situasi yang sama di lain waktu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
618,"Aku nggak terlalu suka suasana di sini, tapi aku rasa kini saya sudah bisa menanggulangi masalah ini dan saya sangat berterima kasih untuk bantuan yang dia berikan",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
619,"Aku tidak terlalu suka mengikuti karyawannya, tapi aku rasa ini sudah lebih baik karena aku sekarang lebih siap menghadapi masalah ini",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
620,"Saya merasa jijik ketika dia mengatakan hal itu, tapi saya rasa kini saya sudah lebih siap menghadapi situasi yang sama di lain waktu dan saya sangat berterima kasih untuk bantuan yang dia berikan",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
621,"Aku khawatir tidak bisa lulus kuliah, itu artinya aku tidak punya masa depan",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
622,"Aku merasa gugup ketika harus berbicara di depan banyak orang, aku khawatir aku tidak bisa mengatakan apa yang harus dikatakan",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
623,"Aku sedih karena ditinggal orang tua yang sudah lama sakit, aku merasa kehilangan bantuan dan dukungan mereka",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
624,"Aku tidak tahu harus kemana kalau aku tidak bisa lulus kuliah, itu membuat aku merasa putus asa dan tidak berharga",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
625,"Aku merasa cemas ketika aku harus menghadapi ujian, aku khawatir aku tidak bisa menyelesaikan soal-soal yang sulit",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
626,"Aku sedih karena tidak bisa mendapatkan pekerjaan yang sesuai dengan gelar kuliahku, itu membuat aku merasa tidak berharga dan kehilangan arah",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
627,"Aku khawatir aku tidak bisa menguasai materi kuliah, itu membuat aku merasa gugup dan tidak percaya diri",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
628,"Aku merasa panik ketika aku harus menyelesaikan proyek yang sulit, aku khawatir aku tidak bisa menyelesaikannya tepat waktu",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
629,"Aku sedih karena tidak bisa memenuhi harapan orang tua, itu membuat aku merasa kehilangan dan tidak berharga",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
630,"Aku tidak tahu harus bagaimana menghadapi situasi sulit, itu membuat aku merasa cemas dan tidak percaya diri",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
631,"Aku merasa gugup ketika aku harus berbicara tentang kebencian yang aku rasakan, aku khawatir aku tidak bisa mengkontrol emosi ku",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
632,"Aku sedih karena tidak bisa menemukan teman yang sesuai dengan minat dan nilai aku, itu membuat aku merasa kehilangan dan tidak berharga",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
633,"Aku merasa cemas ketika aku harus menghadapi konflik dengan teman aku, aku khawatir aku tidak bisa menyelesaikannya dengan baik",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
634,"Aku tidak tahu harus bagaimana menghadapi kehidupan di masa depan, itu membuat aku merasa panik dan tidak percaya diri",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
635,"Aku merasa gugup ketika aku harus menghadapi kesulitan dalam belajar, aku khawatir aku tidak bisa menyelesaikannya dengan baik",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
636,"Aku sedih karena tidak bisa menemukan motivasi untuk belajar, itu membuat aku merasa kehilangan dan tidak berharga",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
637,"Aku khawatir aku tidak bisa mengelola waktu dengan baik, itu membuat aku merasa cemas dan tidak percaya diri",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
638,"Aku merasa panik ketika aku harus menghadapi situasi yang tidak pernah aku hadapi sebelumnya, aku khawatir aku tidak bisa menyelesaikannya dengan baik",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
639,"Aku sedih karena tidak bisa menemukan makna dalam hidup, itu membuat aku merasa kehilangan dan tidak berharga",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
640,"Aku tidak tahu harus bagaimana menghadapi kekecewaan, itu membuat aku merasa gugup dan tidak percaya diri",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
641,"Aku merasa cemas ketika aku harus menghadapi tekanan dari orang lain, aku khawatir aku tidak bisa menyelesaikannya dengan baik",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
642,"Aku merasa panik ketika aku harus menghadapi keputusan yang sulit, aku khawatir aku tidak bisa menyelesaikannya dengan baik",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
643,"Aku sedih karena tidak bisa menemukan tujuan hidup yang jelas, itu membuat aku merasa kehilangan dan tidak berharga",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
644,"Aku merasa gugup ketika aku harus menghadapi kritik dari orang lain, aku khawatir aku tidak bisa mengatasi dengan baik",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
645,"Aku sedih karena tidak bisa menemukan harga diri yang tinggi, itu membuat aku merasa kehilangan dan tidak berharga",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
646,Aku jengkel banget dengannya tapi aku mau mencoba saran kamu untuk memecahkan masalah ini,Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
647,Aku kesal gitu kalau guru nggak mau memahami masukaknya,Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
648,Aku sih rasa percaya banget dengan rencana kamu untuk kuliah di luar negeri,Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
649,Nggak sabar banget aku menunggu reaksi kamu atas lamaranku itu,Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
650,"Aku mau mencoba metode kamu, cuma aku masih kurang percaya dengan hasilnya",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
651,"Jangan gitu, aku masih lagi bingung ini",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
652,"Tuh, aku jadi lebih rileks setelah mendengarkan saran kamu",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
653,"Aku bingung sih, aku nggak tahu harus berbuat apa",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
654,Aku sih sangat percaya pada kemampuan kamu untuk membantu aku,Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
655,"Nggak, aku rasa lebih baik aku sendiri mencari jawabannya",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
656,"Aku sih sangat terbuka untuk saran kamu, aku mau mencobanya",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
657,"Aku nggak tahu harus berbuat apa, tolong kamu bantu aku",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
658,"Aku masih belum percaya pada kemampuan ini, aku sih masih ragu",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
659,"Kamu harus memberitahu aku lebih lanjut tentang hal itu, aku jadi nggak paham lagi",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
660,Tapi aku rasa aku masih perlu waktu lagi untuk bisa melakukannya,Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
661,Aku jadi lebih yakin setelah mendengarkan saran kamu,Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
662,"Nggak, aku rasa ini bukan solusi yang tepat untuk masalahku",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
663,"Aku masih lagi bingung, tolong kamu bantu aku mengaturnya",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
664,"Aku sih rasa lebih baik aku sendiri mencari jawabannya, aku nggak terlalu percaya pada metode kamu",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
665,"Kamu harus memberitahu aku lebih lanjut tentang hal itu, aku rasa aku masih belum paham",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
666,"Aku masih ragu sih, aku nggak tahu harus berbuat apa",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
667,"Aku jadi lebih yakin setelah mendengarkan saran kamu, aku akan mencobanya",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
668,"Aku nggak tahu harus berbuat apa, aku harus bertanya kepada kamu lebih lanjut",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
669,"Aku bingung sih, aku harus mencari jawabannya sendiri",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
670,"Aku sih sangat terbuka untuk saran kamu, aku rasa aku bisa melakukannya",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
671,"Nggak, aku rasa ini bukan solusi yang tepat untuk masalahku, aku harus mencari jawabannya sendiri",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
672,"Aku masih belum percaya pada kemampuan ini, aku harus mencari jawabannya sendiri",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
673,"Aku jadi lebih yakin setelah mendengarkan saran kamu, aku akan mencoba lebih keras lagi",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
674,"Aku sih sangat percaya pada kemampuan kamu untuk membantu aku, aku rasa aku bisa melakukannya",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
675,"Aku masih lagi bingung, tolong kamu bantu aku mengaturnya agar lebih baik",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
676,"Tuh, aku jadi lebih rileks setelah mendengarkan kamu, aku akan mencoba lebih baik lagi",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
677,"Aku bingung sih, aku harus mencari jawabannya sendiri, tapi aku masih ragu",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
678,"Aku nggak tahu harus berbuat apa, aku harus mencari jawabannya sendiri dan bertanya kepada kamu",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
679,"Tapi aku rasa aku masih perlu waktu lagi untuk bisa melakukannya dengan benar, aku harus mencari jawabannya sendiri",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
680,"Aku masih lagi bingung, aku harus mencari jawabannya sendiri dan bertanya kepada kamu",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
681,"Aku bingung sih, aku harus mencari jawabannya sendiri dan mencoba metode kamu",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
682,"Aku nggak tahu harus berbuat apa, aku harus mencari jawabannya sendiri dan mencoba saran kamu",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
683,"Aku jadi lebih percaya padamu setelah mendengarkan saran kamu, aku akan mencoba lebih keras lagi untuk berhasil",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
684,"Aku sih sangat terbuka untuk saran kamu, aku rasa aku bisa melakukannya dengan benar dan berhasil",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
685,"Aku masih lagi bingung, aku harus mencari jawabannya sendiri dan mencoba saran kamu",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
686,"Tuh, aku jadi lebih rileks setelah mendengarkan kamu, aku harus mencari jawabannya sendiri",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
687,"Aku nggak tahu harus berbuat apa, aku harus mencari jawabannya sendiri",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
688,"Aku jadi lebih percaya padamu setelah mendengarkan saran kamu, aku rasa aku bisa melakukannya dengan benar",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
689,"Aku gak mau lagi ngobrol sama dia sih, dia selalu ngomong yang salah, tapi aku senang bisa paham dan mungkin bisa belajar dari kesalahannya gitu",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
