Perasaan Benci dan Jijik,Perasaan Percaya,Rasa Syukur dan Apresiasi,Perasaan Sedih dan Kehilangan,Reaksi Terkejut dan Tidak Terduga,Perasaan Takut dan Kecemasan,Perasaan Marah dan Frustasi,Perasaan Sebelum Menghadapi Kejadian
Aku merasa seperti ingin menghindari situasi itu karena aku merasa sangat tidak nyaman.,,,,,,,
Saya merasa sangat benci dengan cara mereka memperlakukan orang yang lemah.,,,,,,,
Saya merasa sangat jijik ketika harus berhadapan dengan orang yang selalu memanfaatkan orang lain.,,,,,,,
Aku tidak bisa membayangkan harus hidup bersama dengan seseorang yang tidak pernah mempedulikan perasaanku.,,,,,,,
"Setiap kali aku melihatnya, aku merasa seperti ingin lari dan menyembunyikan diri.",,,,,,,
Saya tidak bisa menolerir kehadiran orang yang suka menghakimi orang lain.,,,,,,,
Aku merasa sangat muak ketika harus mendengar kritik yang tidak konstruktif dari seseorang yang tidak pernah membantu.,,,,,,,
Saya lebih suka menjauh dari teman-teman yang suka bergosip dan menyebarkan kebohongan.,,,,,,,
Aku tidak suka ketika orang lain mencoba mengatur hidupku dan memutuskan apa yang baik untukku.,,,,,,,
Saya merasa seperti ingin memuntahkan semua rasa marah dan kekecewaan ketika berhadapan dengan seseorang yang tidak pernah mendengarkan.,,,,,,,
Aku tidak bisa membayangkan harus bekerja sama dengan seseorang yang tidak pernah memenuhi komitmennya.,,,,,,,
Saya merasa sangat jijik ketika melihat seseorang yang tidak pernah menghargai apa yang dimilikinya.,,,,,,,
Aku tidak suka ketika orang lain mencoba mengubahku menjadi seseorang yang tidak aku inginkan.,,,,,,,
Saya lebih suka sendirian daripada harus berhadapan dengan seseorang yang tidak pernah memahami perasaanku.,,,,,,,
Aku merasa seperti ingin menghilangkan semua kenangan buruk yang terkait dengan seseorang yang pernah menyakiti aku.,,,,,,,
Saya merasa sangat muak ketika harus mendengar alasan-alasan yang tidak masuk akal dari seseorang yang tidak pernah mengambil tanggung jawab.,,,,,,,
Saya lebih suka menjauh dari situasi yang membuatku merasa tidak nyaman dan tertekan.,,,,,,,
Aku tidak suka ketika orang lain mencoba mengubah opini dan pandanganku tanpa alasan yang jelas.,,,,,,,
,,,,Saya masih terkejut ketika mendengar kabar bahwa sahabat saya yang selama ini saya anggap dekat ternyata menyembunyikan rahasia besar tentang dirinya.,,,
,,,,Aku merasa seperti dihantam petir ketika ayahku mengumumkan bahwa kami harus pindah ke kota lain karena pekerjaannya.,,,
,,,,"Baru kemarin saya mendengar bahwa teman sekolah saya dulu sekarang menjadi seorang pengusaha sukses, dan itu membuat saya sangat terkejut.",,,
,,,,"Saya tidak percaya ketika diberitahu bahwa saya diterima di universitas impian saya, setelah berbulan-bulan menunggu dengan hati yang berdebar.",,,
,,,,"Tiba-tiba saja, adik saya mengatakan bahwa dia ingin meninggalkan rumah dan hidup mandiri, itu membuat saya sangat bingung.",,,
,,,,Saya merasa seperti sedang berjalan di atas awan ketika mendengar bahwa saya mendapatkan beasiswa untuk melanjutkan studi di luar negeri.,,,
,,,,Aku masih belum bisa menerima kenyataan bahwa orang tua saya akan bercerai setelah puluhan tahun bersama.,,,
,,,,"Ketika saya tahu bahwa saya hamil, saya merasa seperti dunia saya terbalik dan tidak tahu harus berbuat apa.",,,
,,,,Saya sangat terkejut ketika mendengar bahwa bos saya akan mengundurkan diri dan meninggalkan perusahaan yang sudah kami bangun bersama selama bertahun-tahun.,,,
,,,,Saya masih mencoba memahami mengapa sahabat saya tiba-tiba mengakhiri persahabatan kita yang sudah bertahun-tahun.,,,
,,,,Aku merasa seperti sedang mengalami mimpi buruk ketika saya mengetahui bahwa saya didiskualifikasi dari kompetisi yang sudah saya persiapkan dengan sangat baik.,,,
,,,,Saya tidak percaya ketika saya melihat bahwa akun media sosial saya telah dibobol dan digunakan oleh orang lain untuk melakukan tindakan yang merugikan.,,,
,,,,"Saya masih berusaha untuk menerima kenyataan bahwa saya tidak diterima di pekerjaan impian saya, setelah berbulan-bulan menunggu dengan penuh harapan.",,,
,,,,"Ketika saya mendengar bahwa kakek saya sakit parah, saya merasa seperti kehilangan pegangan dan tidak tahu harus berbuat apa.",,,
,,,,"Saya sangat terkejut ketika mendengar bahwa pacar saya sebelumnya telah menikah dengan orang lain, dan itu membuat saya merasa sangat sedih.",,,
,,,,Aku merasa seperti sedang berjalan di atas es tipis ketika saya mengetahui bahwa saya harus menghadapi konsekuensi dari tindakan saya yang tidak tepat di masa lalu.,,,
,,,,Saya masih mencoba memahami mengapa reaksi orang-orang terhadap saya berubah begitu drastis setelah mereka mengetahui tentang kesalahan saya.,,,
,,,,Saya tidak percaya ketika saya mendengar bahwa sahabat saya telah menjadi korban penipuan dan kehilangan banyak uang.,,,
,,,,Saya merasa seperti sedang menghadapi teka-teki yang sangat rumit ketika saya mencoba memahami mengapa saya merasa sangat tidak puas dengan hidup saya saat ini.,,,
,,,,Saya baru saja mengetahui bahwa sahabat saya yang sudah lama tidak lagi berhubungan dengan saya karena merasa tersakiti oleh perkataan saya.,,,
,,,,"Tadi malam, saya mendapat panggilan dari orang yang tidak saya kenal dan mereka mengaku sebagai sepupu jauh saya.",,,
,,,,Saya masih terkejut karena bos saya mengumumkan bahwa perusahaan akan melakukan pemutusan hubungan kerja besar-besaran.,,,
,,,,Aku merasa sangat terkejut ketika mendengar bahwa teman SMA saya sudah menjadi seorang pengusaha sukses.,,,
,,,,"Kemarin, saya menemukan sebuah surat lama dari kakek saya yang membuat saya merasa sedih dan terkejut.",,,
,,,,Saya tidak percaya ketika mendengar bahwa kakak saya akan pindah ke luar negeri untuk melanjutkan studinya.,,,
,,,,"Saya masih tidak bisa mempercayai apa yang saya lihat, karena pacar saya ternyata sudah memiliki tunangan lain.",,,
,,,,Baru saja saya menerima email yang menginformasikan bahwa saya diterima beasiswa untuk kuliah di luar negeri.,,,
,,,,Saya sangat terkejut ketika mengetahui bahwa orang tua saya telah memutuskan untuk bercerai.,,,
,,,,"Tadi pagi, saya mendengar kabar bahwa teman kuliah saya sudah meninggal dunia karena sakit.",,,
,,,,Saya merasa sangat terkejut dan sedih ketika mengetahui bahwa hewan peliharaan saya telah meninggal.,,,
,,,,Saya baru saja menemukan sebuah buku lama yang membuat saya teringat akan kenangan masa kecil yang sudah terlupakan.,,,
,,,,"Kemarin, saya menerima telefon dari seseorang yang mengaku sebagai teman masa kecil saya, tetapi saya tidak mengingatnya sama sekali.",,,
,,,,Saya masih tidak percaya bahwa saya telah dipilih sebagai salah satu finalis dalam sebuah kompetisi nasional.,,,
,,,,Saya merasa sangat terkejut ketika mengetahui bahwa sahabat saya telah mengalami kecelakaan parah.,,,
,,,,Saya baru saja mengetahui bahwa saya memiliki saudara kembar yang sudah meninggal saat lahir.,,,
,,,,"Tadi malam, saya mendengar bahwa tetangga saya telah mengalami kebakaran rumah.",,,
,,,,Saya masih terkejut karena saya telah dipromosikan menjadi manajer di perusahaan tempat saya bekerja.,,,
,,,,Saya merasa sangat terkejut dan sedih ketika mengetahui bahwa guru saya telah meninggal dunia.,,,
,,,,Saya baru saja menerima surat yang menginformasikan bahwa saya telah diterima di sebuah universitas bergengsi.,,,
,,,,Saya merasa sangat terkejut ketika mendengar kabar bahwa saya tidak diterima di universitas impian saya.,,,
,,,,Rasa bingung dan tidak percaya masih menghantui saya setelah kehilangan pekerjaan yang saya cintai.,,,
,,,,Tiba-tiba saja saya merasa sangat kesepian dan tidak tahu harus berbuat apa.,,,
,,,,Saya tidak pernah menyangka bahwa saya akan berakhir dengan seseorang yang tidak saya kenal baik.,,,
,,,,"Ketika saya sedang bersiap-siap untuk tidur, saya mendengar suara aneh yang membuat saya sangat terkejut.",,,
,,,,Saya masih belum bisa menerima kenyataan bahwa orang tua saya akan bercerai.,,,
,,,,Saya merasa sangat tidak terduga ketika saya diberitahu bahwa saya memiliki saudara kembar yang belum pernah saya kenal.,,,
,,,,Saya tidak tahu harus berbuat apa ketika saya menemukan bahwa saya telah kehilangan dompet saya yang berisi semua uang saya.,,,
,,,,"Ketika saya sedang berjalan, saya tiba-tiba saja melihat seseorang yang saya pikir sudah meninggal.",,,
,,,,Saya merasa sangat terkejut ketika saya mendengar bahwa teman baik saya telah pindah ke kota lain tanpa memberitahu saya.,,,
,,,,Saya masih belum bisa menerima kenyataan bahwa saya memiliki penyakit yang tidak dapat disembuhkan.,,,
,,,,Saya merasa sangat bingung ketika saya mendengar bahwa saya harus pindah ke sekolah baru.,,,
,,,,Tiba-tiba saja saya merasa sangat tidak percaya ketika saya diberitahu bahwa saya telah terpilih sebagai salah satu finalis dalam kompetisi.,,,
,,,,Saya tidak pernah menyangka bahwa saya akan mengalami kecelakaan yang sangat parah.,,,
,,,,Saya merasa sangat terkejut ketika saya menemukan bahwa saya telah kehilangan telepon genggam saya yang berisi semua kenangan saya.,,,
,,,,"Ketika saya sedang belajar, saya tiba-tiba saja merasa sangat lelah dan tidak tahu harus berbuat apa.",,,
,,,,Saya masih belum bisa menerima kenyataan bahwa saya telah kehilangan seseorang yang sangat saya cintai.,,,
,,,,Saya merasa sangat tidak terduga ketika saya diberitahu bahwa saya harus menghadapi konsekuensi dari tindakan saya sendiri.,,,
,,,,Saya merasa sangat terkejut ketika saya menemukan bahwa saya memiliki bakat yang tidak pernah saya ketahui sebelumnya.,,,
,,,,Saya tidak tahu harus berbuat apa ketika saya merasa bahwa saya telah kehilangan arah hidup saya.,,,
,,,,Saya merasa sangat terkejut ketika mendengar kabar bahwa perusahaan tempat saya bekerja akan melakukan PHK besar-besaran.,,,
,,,,Aku tidak percaya ketika teman baikku tiba-tiba memutuskan hubungan kita tanpa alasan yang jelas.,,,
,,,,Saya sangat bingung ketika mendapati bahwa hasil tes laboratorium saya tidak seperti yang diharapkan.,,,
,,,,Tiba-tiba ayah saya mengatakan bahwa dia ingin bercerai dengan ibu.,,,
,,,,Saya merasa seperti dikejutkan oleh petir ketika mendengar bahwa sahabat saya telah pindah ke luar negeri tanpa memberitahu saya terlebih dahulu.,,,
,,,,"Ketika saya sedang bersiap-siap untuk ulangan, saya mendapati bahwa guru saya telah mengganti materi yang akan diujikan.",,,
,,,,Aku tidak siap ketika teman sekamar saya tiba-tiba memutuskan untuk pindah ke asrama lain.,,,
,,,,Saya merasa sangat terkejut dan sedih ketika mendengar kabar bahwa rumah saya telah terbakar.,,,
,,,,Saya tidak percaya ketika mendapati bahwa saya telah diterima di universitas impian saya.,,,
,,,,Saya merasa seperti sedang bermimpi buruk ketika mendengar bahwa saya harus menjalani operasi darurat.,,,
,,,,Tiba-tiba saya mendapati bahwa saya telah kehilangan pekerjaan saya tanpa alasan yang jelas.,,,
,,,,Aku merasa sangat bingung dan tidak tahu harus berbuat apa ketika mendapati bahwa saya telah dipilih sebagai ketua organisasi.,,,
,,,,Saya merasa sangat terkejut ketika mendengar bahwa sahabat saya telah menikah tanpa memberitahu saya terlebih dahulu.,,,
,,,,Saya tidak percaya ketika mendapati bahwa saya telah mendapatkan beasiswa untuk melanjutkan studi di luar negeri.,,,
,,,,Saya merasa seperti sedang mengalami kejutan listrik ketika mendengar bahwa saya harus pindah ke kota lain dalam waktu singkat.,,,
,,,,Saya merasa sangat terkejut ketika mendengar bahwa ayah saya telah pensiun dan tidak akan bekerja lagi.,,,
,,,,Saya tidak percaya ketika mendapati bahwa saya telah diterima sebagai volunteer di organisasi yang saya sukai.,,,
,,,,Saya merasa seperti sedang mengalami mimpi buruk ketika mendengar bahwa saya harus menghadapi masalah hukum yang serius.,,,
,,,,Saya merasa sangat terkejut dan sedih ketika mendengar kabar bahwa sahabat saya telah meninggal dunia.,,,
,,,,Aku merasa seperti dikejutkan oleh petir saat mendengar kabar bahwa orang tua saya akan bercerai.,,,
,,,,Saya tidak percaya saat teman baik saya mengatakan bahwa dia akan pindah ke luar negeri.,,,
,,,,Tiba-tiba ada perasaan aneh yang muncul dalam hati saya saat melihat foto mantan kekasih.,,,
,,,,Saya merasa bingung dan tidak tahu harus berbuat apa saat diberitahu bahwa saya tidak lolos seleksi pekerjaan.,,,
,,,,Aku sangat terkejut saat mendengar bahwa sahabat saya telah bertunangan dengan orang yang baru dia kenal beberapa bulan.,,,
,,,,Saya merasa seperti sedang mengalami mimpi buruk saat mendengar kabar bahwa saya harus mengulang semester.,,,
,,,,Tiba-tiba saja saya merasa tidak siap untuk menghadapi ujian yang akan datang karena saya belum mempersiapkan diri dengan baik.,,,
,,,,Saya merasa sangat terkejut dan tidak percaya saat mendengar bahwa orang yang saya idolakan ternyata memiliki sifat yang tidak terduga.,,,
,,,,Aku merasa seperti sedang berjalan di atas awan saat mendengar kabar bahwa saya diterima di universitas impian saya.,,,
,,,,Saya merasa bingung dan tidak tahu harus berbuat apa saat diberitahu bahwa saya harus memilih antara dua pilihan yang sama-sama menarik.,,,
,,,,Tiba-tiba saja saya merasa tidak siap untuk menghadapi kenyataan bahwa saya harus meninggalkan tempat yang sudah saya kenal selama ini.,,,
,,,,Saya merasa sangat terkejut saat mendengar bahwa sahabat saya telah melakukan sesuatu yang tidak terduga dan mengejutkan.,,,
,,,,Aku merasa seperti sedang mengalami kejutan besar saat mendengar kabar bahwa saya akan mendapatkan hadiah yang tidak terduga.,,,
,,,,Saya merasa bingung dan tidak tahu harus berbuat apa saat diberitahu bahwa saya harus mengambil keputusan yang sangat penting dalam hidup saya.,,,
,,,,Aku merasa seperti sedang berjalan di atas awan saat mendengar kabar bahwa saya akan mendapatkan kesempatan yang tidak terduga.,,,
,,,,Tiba-tiba saja saya merasa tidak siap untuk menghadapi kenyataan bahwa saya harus meninggalkan orang yang saya cintai.,,,
,,,,Saya masih belum percaya bahwa ini terjadi pada saya.,,,
,,,,Aku merasa seperti sedang bermimpi buruk yang tidak pernah berakhir.,,,
,,,,Tiba-tiba saja dia menghilang dari kehidupan saya tanpa penjelasan.,,,
,,,,Saya tidak siap untuk menerima berita tersebut.,,,
,,,,Aku merasa kehilangan arah setelah kejadian itu.,,,
,,,,Saya tidak tahu harus berbuat apa untuk menghadapi situasi ini.,,,
,,,,Ternyata orang yang saya percayai bisa berbohong kepada saya.,,,
,,,,Saya merasa sangat terkejut ketika mendengar kabar itu.,,,
,,,,Aku tidak pernah menyangka bahwa ini akan terjadi pada saya.,,,
,,,,Saya merasa seperti sedang berjalan di atas awan yang tiba-tiba runtuh.,,,
,,,,Aku masih mencoba memahami apa yang sebenarnya terjadi.,,,
,,,,Saya tidak siap untuk menghadapi kenyataan yang begitu keras.,,,
,,,,Tiba-tiba saja saya merasa seperti hidup dalam dunia yang berbeda.,,,
,,,,Aku merasa kehilangan kontrol atas kehidupan saya sendiri.,,,
,,,,Saya tidak tahu harus berbuat apa untuk mengatasi rasa sakit ini.,,,
,,,,Saya merasa seperti sedang berdiri di tepi jurang yang sangat dalam.,,,
,,,,Aku tidak pernah menyangka bahwa saya akan merasa seperti ini.,,,
,,,,Saya merasa seperti sedang mencari jawaban untuk pertanyaan yang tidak pernah ada.,,,
,,,,Saya tidak siap untuk menerima kenyataan bahwa saya tidak bisa mengubah apa yang telah terjadi.,,,
,,,,Saya merasa seperti sedang berjuang untuk mencari cahaya di tengah kegelapan yang sangat tebal.,,,
,,,,Saya merasa seperti kehilangan kendali saat mendengar kabar itu.,,,
,,,,Tiba-tiba ada suara yang memanggil namaku di tengah malam.,,,
,,,,Aku masih tidak percaya bahwa semua ini terjadi begitu cepat.,,,
,,,,Saya sangat terkejut ketika mendengar bahwa teman baikku sudah meninggalkan pekerjaannya.,,,
,,,,"Aku merasa seperti sedang berjalan di atas awan, tapi tiba-tiba jatuh ke tanah.",,,
,,,,Saya tidak siap untuk mendengar bahwa orang tua saya akan bercerai.,,,
,,,,Aku merasa sangat bingung dan tidak tahu harus berbuat apa.,,,
,,,,Saya mendapat telepon dari seseorang yang mengatakan bahwa saya telah memenangkan hadiah besar.,,,
,,,,"Tiba-tiba saya merasa seperti berada di dalam sebuah film, karena semua ini terlalu tidak masuk akal.",,,
,,,,"Aku masih mencoba memproses apa yang baru saja terjadi, tapi itu semua terlalu banyak.",,,
,,,,"Saya merasa seperti sedang berjalan di dalam mimpi, dan tidak bisa bangun.",,,
,,,,Aku sangat terkejut ketika mendengar bahwa sahabatku telah pindah ke kota lain.,,,
,,,,"Saya tidak percaya bahwa semua ini bisa terjadi pada saya, karena saya merasa seperti orang biasa.",,,
,,,,"Tiba-tiba saya merasa seperti kehilangan arah, dan tidak tahu harus melangkah ke mana.",,,
,,,,"Aku masih berusaha untuk memahami apa yang baru saja terjadi, tapi itu semua terlalu rumit.",,,
,,,,"Saya merasa seperti sedang berada di dalam badai, dan tidak tahu kapan akan berakhir.",,,
,,,,Aku sangat terkejut ketika mendengar bahwa adikku telah memutuskan untuk meninggalkan sekolah.,,,
,,,,"Saya merasa seperti sedang berjalan di atas es tipis, dan tidak tahu kapan akan runtuh.",,,
,,,,"Tiba-tiba saya merasa seperti kehilangan cinta, dan tidak tahu harus berbuat apa.",,,
,,,,"Aku masih mencoba untuk memahami apa yang baru saja terjadi, tapi itu semua terlalu tidak terduga.",,,
,,,,Aku masih tidak bisa memahami mengapa orang tua aku tiba-tiba ingin berpisah setelah puluhan tahun menikah.,,,
,,,,Saya merasa seperti kehilangan arah ketika mendengar kabar bahwa perusahaan tempat saya bekerja akan melakukan PHK besar-besaran.,,,
,,,,Tidak pernah terbayangkan bahwa sahabat saya sejak kecil ternyata memiliki rahasia yang begitu besar dan menyakitkan.,,,
,,,,Saya benar-benar terkejut ketika mendengar bahwa saya tidak lolos seleksi beasiswa yang sudah saya impikan selama bertahun-tahun.,,,
,,,,Aku merasa bingung dan tidak percaya ketika pacar aku mengatakan bahwa dia ingin putus karena aku terlalu sibuk dengan pekerjaan.,,,
,,,,Saya masih mencoba memahami mengapa guru saya di sekolah menengah pertama tiba-tiba pindah ke luar negeri tanpa memberitahu siapa pun.,,,
,,,,"Ketika saya menemukan bahwa akun media sosial saya telah di-hack, saya langsung merasa panik dan tidak tahu apa yang harus dilakukan.",,,
